Run,Parameter,Epoch_Stop,Fitness,Solution_Found
7,90,72,4.709645289589356e-19,True
7,100,74,1.5671046743498095e-19,True
8,10,66,6.967144821619309e-13,True
8,20,66,6.331602310001622e-18,True
8,30,65,3.4926123283708777e-15,True
8,40,71,1.5236393403831156e-18,True
8,50,67,4.515430429863281e-18,True
8,60,72,7.395827585266835e-18,True
8,70,73,1.8510538637843386e-18,True
8,80,73,1.292380977005841e-18,True
8,90,71,3.7432876771846057e-19,True
8,100,67,1.647190700362752e-17,True
9,10,62,1.902535388231268e-12,True
9,20,72,1.3838451735810056e-17,True
9,30,67,9.422893590402922e-18,True
9,40,70,6.793430390641766e-16,True
9,50,71,6.0493357380049074e-18,True
9,60,64,3.199465752499457e-17,True
9,70,66,7.171669255638118e-17,True
9,80,70,9.532803283656659e-18,True
9,90,69,2.6239013980138916e-18,True
9,100,71,3.9822972957778134e-19,True
10,10,68,1.5882990467068867e-13,True
10,20,70,1.1752073649151854e-13,True
10,30,62,2.0576693896032259e-13,True
10,40,67,1.4519786456408894e-15,True
10,50,71,3.320191851121622e-17,True
10,60,67,5.9035177222782395e-18,True
10,70,71,3.215122940868891e-19,True
10,80,68,2.2032057609526897e-16,True
10,90,73,3.642039414621647e-22,True
10,100,67,3.000916079339293e-17,True
11,10,65,1.0763655271652774e-12,True
11,20,70,2.0862841457990756e-15,True
11,30,67,1.7878651337168117e-14,True
11,40,69,4.433380096284016e-14,True
11,50,71,1.2052593802420433e-16,True
11,60,72,7.8980414570785e-18,True
11,70,69,1.9693784073864912e-17,True
11,80,71,4.874540680671383e-19,True
11,90,66,8.663405833371164e-17,True
11,100,67,7.789406204033847e-18,True
12,10,73,1.0489094053930877e-14,True
12,20,68,1.5785695713075316e-14,True
12,30,65,3.1180521940768764e-17,True
12,40,68,3.3898927883106092e-16,True
12,50,72,3.8788136565704625e-18,True
12,60,69,1.9927182296012033e-17,True
12,70,66,8.65074146534593e-18,True
12,80,69,3.596296843064027e-18,True
12,90,71,1.3360315721698695e-18,True
12,100,69,4.58793417417457e-20,True
13,10,64,1.4558578428967632e-11,True
13,20,63,7.551525906990879e-13,True
13,30,65,2.8760578804851503e-16,True
13,40,71,8.318472413298649e-18,True
13,50,72,5.506602859891544e-19,True
13,60,66,1.556795624075012e-16,True
13,70,71,1.0999397305451214e-17,True
13,80,75,2.59175318451984e-22,True
13,90,71,9.770007299920575e-17,True
13,100,69,1.5611677252712188e-18,True
14,10,68,7.402188395200362e-12,True
14,20,69,1.2496730006442263e-15,True
14,30,70,8.084088201150596e-17,True
14,40,66,1.5293506993135342e-15,True
14,50,74,4.367534989218007e-20,True
14,60,69,2.6689728415853563e-16,True
14,70,68,1.2703707600104982e-17,True
14,80,69,1.3634786320290576e-19,True
14,90,68,5.600791716495645e-18,True
14,100,69,1.0450382300623623e-19,True
15,10,75,1.2625804436450988e-14,True
15,20,72,1.2120867825961871e-15,True
15,30,64,1.1240697986705663e-14,True
15,40,64,3.4612255283024286e-15,True
15,50,74,5.019409450834026e-18,True
15,60,67,3.4453466132218693e-18,True
15,70,70,3.109265045525458e-18,True
15,80,66,1.2100153642411315e-16,True
15,90,71,3.448199119988599e-19,True
15,100,71,1.9524418765883875e-18,True
16,10,65,2.8376923964970456e-12,True
16,20,65,2.009319604036528e-15,True
16,30,68,1.0138498849398325e-17,True
16,40,67,7.721642071551541e-16,True
16,50,68,1.7150654024716997e-16,True
16,60,67,1.9845417189855542e-19,True
16,70,75,1.2217644448692388e-18,True
16,80,70,7.37976522426268e-19,True
16,90,66,3.0636511961401546e-18,True
16,100,67,1.0480977096897152e-18,True
17,10,72,1.900734985156661e-13,True
17,20,68,1.5968670189156208e-15,True
17,30,73,3.0215000431590573e-16,True
17,40,74,2.879287518802785e-19,True
17,50,71,7.224393875678504e-18,True
17,60,70,1.9798106799231578e-16,True
17,70,69,1.2088744582001533e-18,True
17,80,68,2.0063980908231976e-17,True
17,90,68,1.6216651347665424e-18,True
17,100,67,1.742698313619514e-17,True
18,10,60,2.2445090200668063e-14,True
18,20,71,9.952392158744824e-17,True
18,30,69,6.302609967760011e-17,True
18,40,68,1.695781163252692e-18,True
18,50,68,2.0303809504106316e-19,True
18,60,69,5.603542963613244e-18,True
18,70,67,5.6364425655246e-17,True
18,80,72,2.4650200386505635e-19,True
18,90,78,1.130945580542371e-21,True
18,100,71,5.254347184792721e-19,True
19,10,66,8.708970297912757e-12,True
19,20,68,4.082157156577546e-15,True
19,30,67,5.143481367312193e-15,True
19,40,72,2.376865541859507e-18,True
19,50,70,4.169629137795989e-17,True
19,60,67,4.747543174922547e-19,True
19,70,69,7.884667931211082e-20,True
19,80,69,3.8081465461932247e-17,True
19,90,73,4.06553942543168e-20,True
19,100,76,7.644393437951534e-20,True
20,10,81,2.4874464287329843e-12,True
20,20,67,5.83086020389895e-16,True
20,30,70,2.574106214272421e-16,True
20,40,69,1.01254207278481e-17,True
20,50,71,3.1074495553558596e-17,True
20,60,70,7.767225126431756e-18,True
20,70,65,2.9825795833593954e-18,True
20,80,66,1.4088786145465103e-17,True
20,90,75,1.1260886692145245e-19,True
20,100,70,1.2842090467727509e-18,True
