id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401426535,Charlotte,24,William & Mary,41,William Hill (New Jersey),52,-4.5,Charlotte -4.5,,,,
401426535,Charlotte,24,William & Mary,41,consensus,52,-4.5,Charlotte -4.5,,,,
401403856,Auburn,42,Mercer,16,Bovada,51.5,-30.0,Auburn -30.0,-29.0,50.0,,
401403856,Auburn,42,Mercer,16,William Hill (New Jersey),51.5,-30,Auburn -30,,,,
401403856,Auburn,42,Mercer,16,consensus,51.5,-30,Auburn -30,,,,
401403865,Texas A&M,31,Sam Houston State,0,Bovada,55.5,-38.0,Texas A&M -38.0,-33.0,53.5,,
401403865,Texas A&M,31,Sam Houston State,0,William Hill (New Jersey),54,-34.5,Texas A&M -34.5,,,,
401403865,Texas A&M,31,Sam Houston State,0,consensus,54,-36.5,Texas A&M -36.5,,,,
401403968,California,34,UC Davis,13,Bovada,44.0,-14.0,California -14.0,-13.5,44.0,-600,425
401403968,California,34,UC Davis,13,William Hill (New Jersey),44,-14,California -14,,,,
401403968,California,34,UC Davis,13,consensus,44,-14,California -14,,,,
401403866,Vanderbilt,42,Elon,31,Bovada,51.0,-20.0,Vanderbilt -20.0,-18.0,51.0,,
401403866,Vanderbilt,42,Elon,31,William Hill (New Jersey),51.5,-18.5,Vanderbilt -18.5,,,,
401403866,Vanderbilt,42,Elon,31,consensus,51.5,-18.5,Vanderbilt -18.5,,,,
401405062,Iowa,7,South Dakota State,3,William Hill (New Jersey),42,-10.5,Iowa -10.5,,,,
401405062,Iowa,7,South Dakota State,3,consensus,42,-10.5,Iowa -10.5,,,,
401405062,Iowa,7,South Dakota State,3,Bovada,42.5,-11.0,Iowa -11.0,-10.5,42.5,,
401404057,Iowa State,42,Southeast Missouri State,10,William Hill (New Jersey),54.5,-33.5,Iowa State -33.5,,,,
401404057,Iowa State,42,Southeast Missouri State,10,consensus,54.5,-33.5,Iowa State -33.5,,,,
401403971,UCLA,45,Bowling Green,17,Bovada,56.0,-24.0,UCLA -24.0,-30.0,55.5,-2800,1100
