Run,Parameter,Epoch_Stop,Fitness,Solution_Found
4,3.0,999,5.332335807237029e-20,True
4,3.1,999,6.775298832861991e-21,True
4,3.2,999,3.338718563074395e-08,False
4,3.3,999,1.2636108019459506e-14,True
4,3.4,999,1.8647232731395573e-14,True
4,3.5,999,2.574474503349752e-12,True
4,3.6,999,1.3128654140122171e-08,False
4,3.7,999,5.918796748158168e-08,False
4,3.8,999,6.511630537366248e-08,False
4,3.9,999,1.5577883951187708e-06,False
4,4.0,999,1.8955235156361208e-07,False
5,0.1,371,0.0,True
5,0.2,204,3.6676076685980696e-24,True
5,0.3,374,0.0,True
5,0.4,112,2.727725817325677e-10,False
5,0.5,192,4.552047553451286e-14,True
5,0.6,323,1.578677045594237e-18,True
5,0.7,272,4.569066770129979e-19,True
5,0.8,259,1.1609946633708298e-13,True
5,0.9,260,1.2306586353872984e-15,True
5,1.0,224,7.663995112705346e-12,True
5,1.1,315,1.8009968674246354e-22,True
5,1.2,490,9.427016428439114e-13,True
5,1.3,885,7.820617130789119e-25,True
5,1.4,359,9.749117921405622e-21,True
5,1.5,681,8.752850670565172e-25,True
5,1.6,339,4.342334156595636e-24,True
5,1.7,473,5.361177597972518e-26,True
5,1.8,441,1.794951134541008e-18,True
5,1.9,385,2.489590674792986e-17,True
5,2.0,470,4.658583780054831e-23,True
5,2.1,504,4.4489445622564945e-20,True
5,2.2,705,4.673633748523323e-23,True
5,2.3,525,3.899827069154501e-25,True
5,2.4,430,5.670907825578995e-16,True
5,2.5,571,7.427142876203354e-24,True
5,2.6,630,1.3134297610873507e-23,True
5,2.7,818,8.210302588308772e-21,True
5,2.8,732,5.401244336386759e-27,True
5,2.9,862,1.3237985948950525e-20,True
5,3.0,972,6.090101837690969e-25,True
5,3.1,997,4.7139050674130145e-22,True
5,3.2,999,3.4966190350300267e-16,True
5,3.3,999,1.8007264054539842e-16,True
5,3.4,999,8.823155690221602e-13,True
5,3.5,999,8.783363115534898e-13,True
5,3.6,999,2.107906781874976e-09,False
5,3.7,999,1.2188424046912403e-08,False
5,3.8,999,5.7406449165493314e-09,False
5,3.9,999,6.033248801700772e-08,False
5,4.0,999,1.2389974424046771e-05,False
6,0.1,152,1.931812491777883e-19,True
6,0.2,143,2.8192328780158887e-24,True
6,0.3,238,7.113171108329508e-27,True
6,0.4,251,9.54617494023374e-14,True
6,0.5,143,5.099208374552261e-12,True
6,0.6,291,5.277918680042188e-12,True
6,0.7,173,6.522053324981675e-16,True
6,0.8,155,7.621988913359042e-19,True
6,0.9,155,2.553516981578855e-12,True
6,1.0,330,1.2272623129033965e-16,True
6,1.1,174,2.0444248039610467e-11,True
6,1.2,353,2.2281461434963543e-16,True
6,1.3,298,2.81037901876005e-23,True
6,1.4,276,7.841744652874715e-18,True
6,1.5,424,2.3494558058535886e-24,True
6,1.6,309,2.44070567097276e-20,True
6,1.7,558,9.172536157147099e-19,True
6,1.8,482,2.201736351264693e-20,True
6,1.9,510,2.674607484246705e-18,True
6,2.0,527,9.982871559972137e-25,True
6,2.1,547,2.6850147092579775e-23,True
6,2.2,860,6.649266835668237e-23,True
6,2.3,403,1.0099238580958887e-18,True
6,2.4,999,5.719031573305819e-14,True
6,2.5,604,1.5246089971007503e-19,True
6,2.6,598,9.876723884125359e-22,True
6,2.7,689,1.1539618121500767e-21,True
6,2.8,999,5.414724097684489e-22,True
6,2.9,999,1.6173583930429026e-20,True
6,3.0,819,5.849717230337798e-21,True
6,3.1,999,7.416764471957215e-17,True
6,3.2,999,9.777524545098217e-19,True
6,3.3,999,1.266461011625984e-14,True
6,3.4,999,1.021260752871333e-12,True
6,3.5,999,4.318158352512513e-15,True
6,3.6,999,2.968766321158085e-09,False
6,3.7,999,5.8064804411633185e-08,False
6,3.8,999,1.0537520567923387e-07,False
6,3.9,999,4.014920020218905e-08,False
6,4.0,999,1.1334612035992748e-06,False
7,0.1,99,4.434824374008437e-12,True
7,0.2,106,1.5838332678054563e-13,True
7,0.3,87,6.9567715540418954e-15,True
7,0.4,330,0.0,True
7,0.5,226,1.2417620717001245e-18,True
7,0.6,274,3.800230792845383e-20,True
7,0.7,330,5.292420110117184e-19,True
7,0.8,266,9.0349225551094e-28,True
7,0.9,262,6.60388474991284e-18,True
7,1.0,701,7.091788367432838e-15,True
7,1.1,228,1.8793344135718367e-19,True
7,1.2,391,1.2373280783056048e-12,True
7,1.3,364,6.7752693302870656e-18,True
7,1.4,441,3.7520196804574374e-29,True
7,1.5,415,5.390127047202865e-19,True
7,1.6,367,2.82751266495352e-20,True
7,1.7,429,1.4117592692164505e-22,True
7,1.8,477,1.1179761400695467e-27,True
7,1.9,379,1.9745541042130704e-18,True
7,2.0,999,4.578247970635932e-20,True
7,2.1,621,5.97581857227547e-27,True
7,2.2,752,8.44201518489943e-16,True
7,2.3,608,4.943839454950497e-22,True
7,2.4,545,1.9894436877132788e-20,True
7,2.5,473,6.308310499066947e-17,True
7,2.6,826,1.262177448353619e-29,True
7,2.7,786,2.3583244513210194e-25,True
7,2.8,674,2.3731159938873418e-21,True
7,2.9,999,8.087056873679779e-29,True
7,3.0,999,3.2023445583756524e-21,True
7,3.1,999,3.470295058476668e-17,True
7,3.2,999,1.2792879178754336e-13,True
7,3.3,999,1.622158481175591e-15,True
7,3.4,999,3.1996191666681165e-16,True
7,3.5,999,2.953615569219629e-11,True
7,3.6,999,3.770123369920224e-10,False
7,3.7,999,1.0931653001653007e-07,False
