Your Name
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1675738004


Experiment #:,0
Rule:,0444131311323
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
4,10,,0.864,0.6153846153846154,2.2361941456694554,2.133937566094917,,
5,7,,0.72,0.5384615384615384,2.2670260125931008,2.0458416408851736,,
6,4,,0.6,0.46153846153846156,2.1086997717917573,1.8810947601100747,,
7,5,,0.45599999999999996,0.3846153846153846,1.7545326890709867,1.7004397181410922,,
8,8,,0.33599999999999997,0.3076923076923077,1.3019131637698356,1.3520301017579528,,
9,9,,0.256,0.23076923076923073,0.9355594383108072,0.9912642605354288,,
10,11,,0.23199999999999998,0.15384615384615385,0.7814814932386422,0.6193821946787638,,
11,3,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,,
12,6,,0.0,0.0,-0.0,-0.0,,


Experiment #:,14
Rule:,0331422141243
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9063049498560947,2.237397409783102,,
1,10,,0.944,0.8461538461538461,2.0737299536122213,2.2954656791802917,,
2,4,,0.8240000000000001,0.7692307692307692,2.1773327116702212,2.295465679180292,,
3,1,,0.8,0.6923076923076923,2.141963810551204,2.2577560641285177,,
4,2,,0.752,0.6153846153846154,1.9993062391654297,2.1339375660949167,,
5,8,,0.632,0.5384615384615384,1.7577062245027795,1.9877733714879842,,
6,9,,0.552,0.46153846153846156,1.7072044807959001,1.8810947601100747,,
7,3,,0.472,0.3846153846153846,1.5938376931896536,1.7004397181410922,,
8,11,,0.44799999999999995,0.3076923076923077,1.4514113880866752,1.3520301017579528,,
9,5,,0.30400000000000005,0.23076923076923073,1.2353414293002543,1.1451104143815827,,
10,6,,0.15200000000000002,0.15384615384615385,0.6600385389848011,0.7732283485249176,,
11,7,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,,
12,12,,0.0,0.0,-0.0,-0.0,,


Experiment #:,15
Rule:,0144141221421
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.629203293605821,1.8262452584026092,,
1,2,,0.944,0.8461538461538461,1.791218515514459,1.9220231428515733,,
2,7,,0.8,0.7692307692307692,1.9081283534024327,1.922023142851573,,
3,1,,0.776,0.6923076923076923,1.9276105744147154,1.95006375643621,,
4,10,,0.728,0.6153846153846154,1.9276105744147152,1.8843135277997989,,
5,9,,0.648,0.5384615384615384,1.9305484074085715,1.8339272176418302,,
6,4,,0.528,0.46153846153846156,1.8203515674327235,1.7272486062639207,,
7,5,,0.384,0.3846153846153846,1.5477118326133679,1.5465935642949382,,
8,8,,0.264,0.3076923076923077,1.169140842213851,1.3520301017579528,,
9,11,,0.24,0.23076923076923073,1.0154312795575997,0.9912642605354288,,
10,6,,0.08799999999999997,0.15384615384615385,0.46843434415285357,0.7732283485249176,,
11,3,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,,
12,12,,0.0,0.0,-0.0,-0.0,,


Experiment #:,16
Rule:,0131133443424
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7192424190051234,2.103909910282364,,
1,12,,0.984,0.8461538461538461,1.757213917084058,2.199687794731328,,
2,6,,0.832,0.7692307692307692,2.0801529699719303,2.237397409783102,,
3,9,,0.752,0.6923076923076923,2.0928987047044476,2.199687794731328,,
4,1,,0.728,0.6153846153846154,2.0858257614462588,2.133937566094917,,
5,3,,0.648,0.5384615384615384,2.007840090987945,1.9877733714879842,,
6,8,,0.528,0.46153846153846156,1.9216851935960442,1.8810947601100745,,
7,11,,0.504,0.3846153846153846,1.7830504429602507,1.5465935642949382,,
8,10,,0.45599999999999996,0.3076923076923077,1.7045956272027252,1.3520301017579528,,
9,4,,0.33599999999999997,0.23076923076923073,1.251976101901574,0.9912642605354288,,
10,5,,0.19199999999999995,0.15384615384615385,0.8614020063563284,0.7732283485249176,,
11,2,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,,
12,7,,0.0,0.0,-0.0,-0.0,,


Experiment #:,17
Rule:,0114342444312
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6991536985053872,2.1339375660949167,,
1,5,,0.848,0.8461538461538461,2.1178868076058253,2.2577560641285177,,
2,6,,0.696,0.7692307692307692,1.859710320744378,2.199687794731328,,
3,2,,0.648,0.6923076923076923,1.7534385551055147,2.161978179679554,,
4,9,,0.5680000000000001,0.6153846153846154,1.7510502810484998,2.133937566094917,,
5,1,,0.544,0.5384615384615384,1.6634029355413036,1.9877733714879842,,
6,3,,0.46399999999999997,0.46153846153846156,1.60669200402195,1.8810947601100745,,
7,4,,0.344,0.3846153846153846,1.3013928220700692,1.7004397181410922,,
8,7,,0.19999999999999996,0.3076923076923077,1.0197551613173617,1.5058762556041068,,
9,11,,0.17600000000000005,0.23076923076923073,0.8632027787554775,1.1451104143815827,,
10,12,,0.16800000000000004,0.15384615384615385,0.7981133676610608,0.7732283485249176,,
11,8,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,,
12,10,,0.0,0.0,-0.0,-0.0,,


Experiment #:,18
Rule:,0224431134222
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.0101818141372707,2.1339375660949167,,
1,9,,0.912,0.8461538461538461,2.213179838486834,2.1920058354921066,,
2,4,,0.792,0.7692307692307692,2.202935349917525,2.133937566094917,,
3,11,,0.768,0.6923076923076923,2.1872602024647003,2.1619781796795534,,
4,2,,0.72,0.6153846153846154,2.1243583009987175,2.133937566094917,,
5,8,,0.6,0.5384615384615384,2.0342659171363566,1.9877733714879842,,
6,10,,0.552,0.46153846153846156,1.8918676355554291,1.8810947601100747,,
7,7,,0.40800000000000003,0.3846153846153846,1.7138794623676417,1.7004397181410922,,
8,6,,0.256,0.3076923076923077,1.1704266813990296,1.3520301017579528,,
9,12,,0.248,0.23076923076923073,1.132470920384514,1.1451104143815827,,
10,3,,0.16800000000000004,0.15384615384615385,0.7525101389436977,0.7732283485249176,,
11,5,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,,
12,1,,0.0,0.0,-0.0,-0.0,,


Experiment #:,19
Rule:,0314132241131
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.0193320862556607,2.133937566094917,,
1,6,,0.84,0.8461538461538461,2.2693525870921594,2.133937566094917,,
2,7,,0.696,0.7692307692307692,1.96596031839498,1.922023142851573,,
3,4,,0.5760000000000001,0.6923076923076923,1.8957265739193934,1.95006375643621,,
4,2,,0.528,0.6153846153846154,1.8241977808598449,1.922023142851573,,
5,11,,0.504,0.5384615384615384,1.789927403318374,1.8339272176418302,,
6,1,,0.48,0.46153846153846156,1.7490176373146065,1.6691803368667308,,
7,3,,0.4,0.3846153846153846,1.603302052273797,1.4885252948977485,,
8,8,,0.28,0.3076923076923077,1.135285908686982,1.1401156785146092,,
9,9,,0.19999999999999996,0.23076923076923073,0.8930182569993884,0.9912642605354288,,
10,12,,0.19199999999999995,0.15384615384615385,0.8614020063563284,0.7732283485249176,,
11,5,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,,
12,10,,0.0,0.0,-0.0,-0.0,,


Experiment #:,20
Rule:,0312122242143
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.5369681696895563,2.1339375660949167,,
1,3,,0.912,0.8461538461538461,1.8381981387722062,2.2577560641285177,,
2,10,,0.864,0.7692307692307692,1.8758795482427197,2.2577560641285177,,
3,11,,0.84,0.6923076923076923,1.8719083282054587,2.1619781796795534,,
4,5,,0.696,0.6153846153846154,2.0111527138445915,2.133937566094917,,
5,6,,0.544,0.5384615384615384,1.9584027371622077,2.0458416408851736,,
6,2,,0.496,0.46153846153846156,1.8747339577311815,1.8810947601100745,,
7,1,,0.472,0.3846153846153846,1.7598429441538754,1.7004397181410922,,
8,4,,0.352,0.3076923076923077,1.3118871087789246,1.3520301017579528,,
9,8,,0.23199999999999998,0.23076923076923073,0.8316855815673357,0.9912642605354288,,
10,12,,0.22399999999999998,0.15384615384615385,0.7674044165839726,0.6193821946787638,,
11,9,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,,
12,7,,0.0,0.0,-0.0,-0.0,,


Experiment #:,21
Rule:,0411121133122
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.5381175893573316,1.9877733714879842,,
1,10,,0.944,0.8461538461538461,1.7453223205342594,2.133937566094917,,
2,2,,0.896,0.7692307692307692,1.8759868811711062,2.199687794731328,,
3,5,,0.752,0.6923076923076923,1.753051891761999,2.1619781796795534,,
4,7,,0.608,0.6153846153846154,1.8122877580363441,2.1339375660949167,,
5,4,,0.488,0.5384615384615384,1.7359223558202375,2.0458416408851736,,
6,6,,0.33599999999999997,0.46153846153846156,1.4361935166844872,1.8810947601100745,,
7,12,,0.32799999999999996,0.3846153846153846,1.3995432909742105,1.7004397181410922,,
8,8,,0.20799999999999996,0.3076923076923077,1.1077471463424426,1.5058762556041068,,
9,9,,0.128,0.23076923076923073,0.7220951058310028,1.1451104143815827,,
10,3,,0.04800000000000004,0.15384615384615385,0.3258395739583094,0.7732283485249176,,
11,1,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,,
12,11,,0.0,0.0,-0.0,-0.0,,


Experiment #:,22
Rule:,0234114424244
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7354734162476895,1.9877733714879842,,
1,4,,0.872,0.8461538461538461,1.9547242635506283,1.9877733714879842,,
2,8,,0.752,0.7692307692307692,1.8901617786092986,1.9877733714879842,,
3,3,,0.6719999999999999,0.6923076923076923,1.9413756872768306,2.038159681645953,,
4,11,,0.648,0.6153846153846154,1.9466567542786797,2.038159681645953,,
5,9,,0.5680000000000001,0.5384615384615384,1.9315209192944638,1.9877733714879842,,
6,10,,0.52,0.46153846153846156,1.7725203344235319,1.8230264907128848,,
7,1,,0.496,0.3846153846153846,1.6333178388889706,1.4885252948977485,,
8,12,,0.488,0.3076923076923077,1.6272386881936094,1.3520301017579528,,
9,6,,0.33599999999999997,0.23076923076923073,1.4077415017977275,1.1451104143815827,,
10,7,,0.19199999999999995,0.15384615384615385,0.8614020063563284,0.7732283485249176,,
11,5,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,,
12,2,,0.0,0.0,-0.0,-0.0,,


Experiment #:,23
Rule:,0244242322342
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.530924206853498,1.7381493331928661,,
1,11,,0.968,0.8461538461538461,1.6251325102595748,1.8339272176418302,,
2,10,,0.92,0.7692307692307692,1.7032218625993547,1.7758589482446405,,
3,8,,0.8,0.6923076923076923,1.9081283534024327,1.8262452584026092,,
4,6,,0.648,0.6153846153846154,1.9327536710043762,1.8262452584026092,,
5,5,,0.504,0.5384615384615384,1.7729821236329073,1.7381493331928664,,
6,1,,0.48,0.46153846153846156,1.7439923603062506,1.6691803368667308,,
7,4,,0.36,0.3846153846153846,1.5028511212863997,1.5465935642949382,,
8,12,,0.352,0.3076923076923077,1.4793380349941683,1.3520301017579528,,
9,7,,0.20799999999999996,0.23076923076923073,0.9375795939680472,0.9912642605354287,,
10,3,,0.128,0.15384615384615385,0.6740951058310027,0.7732283485249176,,
11,9,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,,
12,2,,0.0,0.0,-0.0,-0.0,,


Experiment #:,24
Rule:,0341233441213
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
