Your Name
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1675738004


Experiment #:,0
Rule:,0444131311323
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
2,5,,0.768,0.7692307692307692,1.645237047191734,1.8339272176418302,,
3,12,,0.76,0.6923076923076923,1.6277685707158969,1.7381493331928664,,
4,2,,0.712,0.6153846153846154,1.4405621132811706,1.4604846813131116,,
5,6,,0.56,0.5384615384615384,1.132523104608563,1.3143204867061788,,
6,4,,0.43999999999999995,0.46153846153846156,1.1239637724089038,1.2957378005380122,,
7,11,,0.41600000000000004,0.3846153846153846,1.1119213833656878,1.2389012566026305,,
8,10,,0.368,0.3076923076923077,1.0771206761793286,1.1401156785146092,,
9,7,,0.22399999999999998,0.23076923076923073,0.8774415811526233,0.9912642605354287,,
10,9,,0.14400000000000002,0.15384615384615385,0.6882225728123753,0.7732283485249176,,
11,1,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,,
12,8,,0.0,0.0,-0.0,-0.0,,


Experiment #:,5
Rule:,0214311433441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7610100682943255,2.103909910282364,,
1,4,,0.872,0.8461538461538461,2.0232558207033366,2.161978179679554,,
2,6,,0.72,0.7692307692307692,2.0920052677641294,2.199687794731328,,
3,2,,0.6719999999999999,0.6923076923076923,2.0540137109055085,2.161978179679554,,
4,1,,0.648,0.6153846153846154,1.9276099386772194,1.884313527799799,,
5,12,,0.64,0.5384615384615384,1.9174785355945971,1.7381493331928661,,
6,3,,0.56,0.46153846153846156,1.8656898720812898,1.6691803368667308,,
7,9,,0.48,0.3846153846153846,1.7378012497392663,1.4885252948977485,,
8,7,,0.33599999999999997,0.3076923076923077,1.4352274304631671,1.3520301017579528,,
9,5,,0.19199999999999995,0.23076923076923073,0.8888879350217682,0.9912642605354287,,
10,8,,0.07199999999999995,0.15384615384615385,0.3733433210798535,0.6193821946787638,,
11,11,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,,
12,10,,0.0,0.0,-0.0,-0.0,,


Experiment #:,6
Rule:,0114334214442
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9634408546926443,2.1339375660949167,,
1,9,,0.912,0.8461538461538461,2.208266508442636,2.2577560641285177,,
2,8,,0.792,0.7692307692307692,2.187083229543987,2.2577560641285177,,
3,3,,0.712,0.6923076923076923,2.194358752047895,2.2577560641285177,,
4,1,,0.688,0.6153846153846154,2.13840806024749,2.133937566094917,,
5,12,,0.6799999999999999,0.5384615384615384,2.1296523440042874,1.9877733714879842,,
6,7,,0.536,0.46153846153846156,1.715035352836743,1.6691803368667308,,
7,10,,0.488,0.3846153846153846,1.6531260722366754,1.5465935642949382,,
8,11,,0.46399999999999997,0.3076923076923077,1.612877248988049,1.3520301017579528,,
9,6,,0.31200000000000006,0.23076923076923073,1.0887158858817965,0.9912642605354287,,
10,2,,0.264,0.15384615384615385,0.832722637493494,0.6193821946787638,,
11,5,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,,
12,4,,0.0,0.0,-0.0,-0.0,,


Experiment #:,7
Rule:,0322131414124
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9113401107713837,2.199687794731328,,
1,2,,0.944,0.8461538461538461,2.014967486492909,2.2577560641285177,,
2,6,,0.792,0.7692307692307692,2.249347774290252,2.2954656791802917,,
3,1,,0.768,0.6923076923076923,2.237427771613141,2.199687794731328,,
4,7,,0.624,0.6153846153846154,2.098575562681461,2.1339375660949167,,
5,9,,0.544,0.5384615384615384,1.8317331068932121,1.9877733714879842,,
6,8,,0.42400000000000004,0.46153846153846156,1.6886832259101168,1.8810947601100747,,
7,11,,0.4,0.3846153846153846,1.6243602955390448,1.7004397181410922,,
8,12,,0.392,0.3076923076923077,1.5629115816628734,1.3520301017579528,,
9,10,,0.344,0.23076923076923073,1.4601798503609198,1.1451104143815827,,
10,4,,0.22399999999999998,0.15384615384615385,0.978028471326194,0.7732283485249176,,
11,5,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,,
12,3,,0.0,0.0,-0.0,-0.0,,


Experiment #:,8
Rule:,0413232321344
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7242232273870055,2.199687794731328,,
1,1,,0.968,0.8461538461538461,1.7534351030222313,2.257756064128518,,
2,4,,0.848,0.7692307692307692,1.9889264870518755,2.2577560641285177,,
3,3,,0.768,0.6923076923076923,2.0671241469187347,2.2577560641285177,,
4,7,,0.624,0.6153846153846154,2.037156183472741,2.1920058354921066,,
5,2,,0.5760000000000001,0.5384615384615384,1.9432890713777473,2.045841640885174,,
6,10,,0.528,0.46153846153846156,1.8751634247445237,1.8810947601100745,,
7,9,,0.44799999999999995,0.3846153846153846,1.5456196914927522,1.5465935642949382,,
8,11,,0.42400000000000004,0.3076923076923077,1.4276483908035296,1.3520301017579528,,
9,12,,0.41600000000000004,0.23076923076923073,1.3666676492483716,0.9912642605354288,,
10,6,,0.264,0.15384615384615385,1.0951466133234102,0.7732283485249176,,
11,5,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,,
12,8,,0.0,0.0,-0.0,-0.0,,


Experiment #:,9
Rule:,0232111412424
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6838195792138133,2.103909910282364,,
1,11,,0.968,0.8461538461538461,1.7651756406726704,2.199687794731328,,
2,2,,0.92,0.7692307692307692,1.6874995931162966,1.9877733714879842,,
3,3,,0.84,0.6923076923076923,1.7092350147531246,1.95006375643621,,
4,6,,0.688,0.6153846153846154,1.858496223458523,1.922023142851573,,
5,7,,0.544,0.5384615384615384,1.6193032316041416,1.8339272176418302,,
6,8,,0.42400000000000004,0.46153846153846156,1.538129829998784,1.7272486062639207,,
7,5,,0.28,0.3846153846153846,1.2807655775097997,1.5465935642949382,,
8,1,,0.256,0.3076923076923077,1.2088571344984747,1.3520301017579528,,
9,12,,0.248,0.23076923076923073,1.1780741491018771,1.1451104143815827,,
10,9,,0.16800000000000004,0.15384615384615385,0.7981133676610607,0.7732283485249176,,
11,10,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,,
12,4,,0.0,0.0,-0.0,-0.0,,


Experiment #:,10
Rule:,0114423214223
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
